ENSG00000273547.1	686654	91685
ENSG00000273547.1	686654	91685
ENSG00000273547.1	686654	91685
ENSG00000187634.10	924879	107583
ENSG00000187634.10	924879	107583
ENSG00000187634.10	924879	107583
ENSG00000187634.10	924879	106234
ENSG00000187634.10	924879	106234
ENSG00000187634.10	924879	97965
ENSG00000187634.10	924879	97965
ENSG00000187634.10	924879	97965
ENSG00000187634.10	924879	66206
ENSG00000187634.10	924879	20614
ENSG00000187634.10	924879	20614
ENSG00000187634.10	924879	14234
ENSG00000187634.10	924879	14234
ENSG00000187634.10	924879	3768
ENSG00000187634.10	924879	1200
ENSG00000187642.9	982093	1964
ENSG00000187642.9	982093	1964
ENSG00000237330.2	1074307	14786
ENSG00000237330.2	1074307	5145
ENSG00000237330.2	1074307	5145
ENSG00000237330.2	1074307	5145
ENSG00000237330.2	1074307	5145
ENSG00000131591.17	1116361	5727
ENSG00000162571.13	1173883	16503
ENSG00000162571.13	1173883	16503
ENSG00000162571.13	1173883	16503
ENSG00000162571.13	1173883	16503
ENSG00000186891.13	1206691	1382
ENSG00000186891.13	1206691	1382
ENSG00000184163.3	1246722	505
ENSG00000162576.16	1361777	282
ENSG00000205116.3	1426127	4126
ENSG00000205116.3	1426127	4126
ENSG00000205116.3	1426127	4126
ENSG00000179403.11	1434860	1578
ENSG00000179403.11	1434860	529
ENSG00000197785.13	1512150	7462
ENSG00000197785.13	1512150	7462
ENSG00000197785.13	1512150	6802
ENSG00000197785.13	1512150	6802
ENSG00000189409.12	1632094	1103
ENSG00000189409.12	1632094	1103
ENSG00000008130.15	1780457	1658
ENSG00000008130.15	1780457	1658
ENSG00000008130.15	1780457	1658
ENSG00000169885.9	1914826	8563
ENSG00000169885.9	1914826	6393
ENSG00000169885.9	1914826	6393
ENSG00000169885.9	1914826	6393
ENSG00000169885.9	1914826	6393
ENSG00000162585.16	2212720	1229
ENSG00000162585.16	2212720	1229
ENSG00000157933.9	2228694	1228
ENSG00000116151.13	2391707	80184
ENSG00000116151.13	2391707	77334
ENSG00000116151.13	2391707	76802
ENSG00000116151.13	2391707	76802
ENSG00000157873.17	2555638	9696
ENSG00000157873.17	2555638	9696
ENSG00000157873.17	2555638	8761
ENSG00000157873.17	2555638	7540
ENSG00000157873.17	2555638	6936
ENSG00000157870.14	2586490	8382
ENSG00000157870.14	2586490	8382
ENSG00000157870.14	2586490	1182
ENSG00000157870.14	2586490	1182
ENSG00000169717.6	3021482	52886
ENSG00000130762.14	3454425	12954
ENSG00000162591.15	3611495	67
ENSG00000158109.14	3625001	5933
ENSG00000158109.14	3625001	5933
ENSG00000162592.8	3752397	5324
ENSG00000198912.10	3900293	48068
ENSG00000196581.10	4654731	2084
ENSG00000196581.10	4654731	2084
ENSG00000196581.10	4654731	146808
ENSG00000196581.10	4654731	315491
ENSG00000196581.10	4654731	315491
ENSG00000196581.10	4654731	315491
ENSG00000007923.15	6701924	41281
ENSG00000007923.15	6701924	41281
ENSG00000007923.15	6701924	41281
ENSG00000171735.18	6785323	14575
ENSG00000049246.14	7784319	896
ENSG00000116285.12	8026308	14204
ENSG00000116285.12	8026308	17427
ENSG00000116285.12	8026308	20926
ENSG00000116285.12	8026308	34954
ENSG00000116285.12	8026308	37365
ENSG00000116285.12	8026308	37365
ENSG00000116285.12	8026308	50787
ENSG00000116285.12	8026308	51862
ENSG00000116285.12	8026308	56808
ENSG00000116285.12	8026308	90694
ENSG00000116285.12	8026308	94777
ENSG00000116285.12	8026308	94777
ENSG00000116285.12	8026308	106922
ENSG00000116285.12	8026308	107357
ENSG00000116285.12	8026308	107357
